filename,status,sha256,size_bytes
TRACE_Bootstrap_Collection_v0_5_2026_06_16.zip,OK,56be36a1f07051e7ae27e0481dd757fb61c75c6be7b6fdb298e1523daa30e725,669539
TRACE_BOOTSTRAP_ROSETTA_CURRENT_FRONT_DOOR_v0_3_2026_06_16.zip,OK,1aaed16cc238483949df19ad37e009c4c647a32e242743d144e81696a5e4b69c,67939
TRACE_ME_PUBLIC_ONE_SHEET_v0_2_2026_06_16.zip,OK,e89d5e983454689ddc69a3b86078c0cd265970722b6f29320105e4f902b05d7b,62561
TRACE_ME_Diagnostic_Kernel_v0_2_2026_06_16.zip,OK,af4e49ce9e08a1ebaa4260d1919c8268c72de090abd73fa3e8cce51cb1c9b8c0,5058
TRACE_ME_PreRegistered_Test_Template_v0_1_2026_06_16.zip,OK,8db369c55adae7b92079a15a5e922773e668bfaeb7692ec83d1598dfcdb32970,3815
TRACE_ME_Claims_Ledger_v0_5_2026_06_16.zip,OK,38acbe3253d0d02531df7cc0a2def1ff1275a6c5e759ac99ea5de92d99d50d10,17891
TRACE_ME_Claims_Demotion_Protocol_v0_1_2026_06_16.zip,OK,c44522268fe27652020550013e7f6a242767de32aede388a8a0b32bc85b0c218,4910
TRACE_ME_Concordance_v0_6_2026_06_16.zip,OK,a99bdc6f54869e466d543488d7740b979038a03077c700e1a31b5b3de266abb8,25210
TRACE_ME_Case_Atlas_v0_4_2026_06_16.zip,OK,9ce051125871fc5537b9cc4883a49aeae5c62b1dea99d6836b89331e18a661d5,5582
TRACE_ME_AI_Review_Digest_v0_1_2026_06_16.zip,OK,776ade4fe81b6a5ea00d9104b7ed74821c0504ad0f2083ebacf020052ce73c99,4401
TRACE_ME_Falsification_Drift_Audit_v0_1_2026_06_16.zip,OK,a0552bc7990e19aa34e2b039f4c464c9b65bdc57918a15e241cf44fe9cf34992,12978
TRACE_GROUNDHOG_DELTA_FALSIFICATION_AUDIT_v0_1_2026_06_16.zip,OK,4a153b96a95d7bc38271dfb52f87a5a3e1a4ca8a5a77295d21594d84e331b930,10721
TRACE_FRANKENSTEIN_DELTA_FALSIFICATION_AUDIT_v0_1_2026_06_16.zip,OK,803c8c8d6040c8ab67a1853f685b70efb287e4d4e00241ed259301604676ab4f,9467
TRACE_ME_CURRENT_STACK_HANDOFF_v0_3_2026_06_16.zip,OK,6ca64a000fff108907ed94c1e13f2564d48c90b3351f826b3ee5f8ccdfa4931d,1663687
TRACE_ME_KIMI_RESPONSE_PATCH_PACK_v0_1_2026_06_16.zip,OK,fcd0143ed22405399d7cda77b5f1912fa3ca1924323fbad2046c8daab9afb967,16468
TRACE_MEMORY_PRESERVATION_PACK_v0_1_2026_06_16.zip,OK,ec57bbe15e3e8dbb823021ec0cad366ab7a8a62af14042d7fa4c276ee87d6706,30571
TRACE_ME_RELAY_PACK_v0_1_2026_06_16.zip,OK,201e2ce318d748dd0f14e4ed72a0fb8056531b2787d2ba2ba32548aabeac13a5,82491
